Error while scraping https://www.hltv.org/stats/players/18120/sinnopsyy?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7925/gabesson?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/971/khrn?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8137/reltuc?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8311/nemanha?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/823/maniac?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/14221/kaper?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7170/smithzz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8150/maeve?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/303/starix?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/21302/cjoffo?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9545/xms?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13042/logan?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7508/alexrr?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7958/dumz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10404/console?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9660/connor93?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12161/krizzen?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10569/devoduvek?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/5440/flashie?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/14388/the-elive?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19310/lnz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/150/maj3r?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7382/steel?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7463/inzta?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19750/drop?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9816/aleksib?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7943/undo?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8599/karsa?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/3517/kzy?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/922/snappi?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7147/fifflaren?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/16954/yepz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8752/silent?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/15071/interz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/15180/twixie?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/14203/shakezullah?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/17132/leomonster?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10762/rock1ng?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11287/darko?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/1950/tonyblack?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/16921/nafany?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8410/arch?startDate=2021-01-01&endDate=2021-12-31, skipping file
